In school in 2024/2025,Offer Class Trip,School,Grades,Address,Principal,Phone,E-Mail,Family of School,KM's to School,E-mail x-mas kick off,Offer Weekly,Contacted,District,emailed re class trips,Email,VP,Unnamed: 8,Emailed,Follow up email,2025 outreach,Phoned,Booked,2025 outreach - class trip,2024 EOY Event,Unnamed: 0,__full_addr__,lat,lon,Status
y,,Falmouth District,PP - 5,"30 School Street, Falmouth, Nova Scotia, B0P 1L0, Canada",Kim Frank,902-792-6710,fds@avrce.ca,AVRCE,59 KM,2024-11-13 0:00:00,,,AVRCE,,,,,,,,,,,,,"30 School Street, Falmouth, Nova Scotia, B0P 1L0, Canada",44.9946328,-64.1661287,recent
,2025-03-28,Gaspereau Valley Elementary,PP - 5,"2781 Greenfield Road RR 1 Wolfville, Nova Scotia B4P 2R1, Canada",Mike Ouellette,902-542-6090,gves@avrce.ca,AVRCE,81 KM,2024-11-13 0:00:00,,VM Nov 5,AVRCE,,,,,,,,,,,,,"2781 Greenfield Road Wolfville, Nova Scotia B4P 2R1, Canada",45.0782622,-64.3476643,none
y,,Glooscap Elementary,PP - 5,"1017 J. Jordan Road, Canning, Nova Scotia, B0P 1H0, Canada",Lorne Guy,902-582-2010,ges@avrce.ca,AVRCE,95 KM,x,x,,AVRCE,,,,,,,,,,,,,"1017 J. Jordan Road, Canning, Nova Scotia, B0P 1H0, Canada",45.1596973,-64.4358411,recent
,2025-03-28,Hantsport School,PP - 8,"11 School Street Box 392 Hantsport, Nova Scotia B0P 1P0, Canada",Steve Miller,902-684-4000,hs@avrce.ca,AVRCE,66 KM,2024-11-13 0:00:00,,,AVRCE,,,,,,,,,,,,,"11 School Street Hantsport, Nova Scotia B0P 1P0, Canada",45.0655223,-64.1815019,none
,2025-03-28,Kings County Academy,PP - 8,"35 Gary Pearl Drive Kentville, Nova Scotia B4N 0H4, Canada",Victoria Laurence,902-690-3850,kca@avrce.ca,AVRCE,96 KM,2024-11-13 0:00:00,,,AVRCE,,,,,,,,,,,,,"35 Gary Pearl Drive Kentville, Nova Scotia B4N 0H4, Canada",45.0778657,-64.5194677,none
,2025-03-28,Kingston and District School,PP - 5,"630 Pine Ridge Ave., Kingston, Nova Scotia, B0P 1R0, Canada",Bernice Jackson,902-765-7530,kds@avrce.ca,AVRCE,130 KM,x,x,,AVRCE,,,,,,,,,,,,,"630 Pine Ridge Ave., Kingston, Nova Scotia, B0P 1R0, Canada",44.9932336,-64.9429151,recent
,2025-03-28,L.E. Shaw Elementary,PP - 5,"486 Oak Island Road, Avonport, Nova Scotia B0P 1B0, Canada",Chris Shynal,902-542-6900,leses@avrce.ca,AVRCE,72 KM,2024-11-13 0:00:00,,,AVRCE,,,,,,,,,,,,,"486 Oak Island Road, Avonport, Nova Scotia B0P 1B0, Canada",45.1012153,-64.2563482,none
,2025-03-28,Lawrencetown Consolidated School,PP - 5,"10 Middle Road RR 1 Lawrencetown, Nova Scotia B0S 1M0, Canada",Shannon Young,902-584-4500,lcs@avrce.ca,AVRCE,154 KM,2024-11-13 0:00:00,,,AVRCE,,,,,,,,,,,,,"10 Middle Road Lawrencetown, Nova Scotia B0S 1M0, Canada",44.8789124,-65.1560461,none
,2025-03-28,New Minas Elementary School,PP - 5,"34 Jones Road New Minas, Nova Scotia B4N 3N1, Canada",Renee Levy,902-681-4900,nmes@avrce.ca,AVRCE,88 KM,2024-11-13 0:00:00,,,AVRCE,,,,,,,,,,,,,"34 Jones Road New Minas, Nova Scotia B4N 3N1, Canada",45.0734418,-64.4512705,none
y,,Port Williams Elementary,PP - 5,"1261 Belcher Street RR 1 Port Williams, Nova Scotia B0P 1T0, Canada",Lana Burns,902-542-6074,pwes@avrce.ca,AVRCE,87 KM,x,x,,AVRCE,,,,,,,,,,,,,"1261 Belcher Street Port Williams, Nova Scotia B0P 1T0, Canada",45.0948973,-64.4089377,recent
,2025-03-28,Somerset and District Elementary,PP - 5,"4339 Brooklyn Street, Somerset, Nova Scotia B0P 1E0, Canada",Tracy Murray,902-538-4670,sdes@avrce.ca,AVRCE,114 KM,2024-11-13 0:00:00,,,AVRCE,,,,,,,,,,,,,"4339 Brooklyn Street, Somerset, Nova Scotia B0P 1E0, Canada",45.075485,-64.7477914,none
,2025-03-28,St Mary's Elementary,PP - 5,"1276 Victoria Road Box 249 Aylesford, Nova Scotia B0P 1C0, Canada",Isaac Schurman,902-847-4400,smes@avrce.ca,AVRCE,121 KM,2024-11-13 0:00:00,,,AVRCE,,,,,,,,,,,,,"1276 Victoria Road Aylesford, Nova Scotia B0P 1C0, Canada",45.0299103,-64.8364861,none
,2025-03-28,Three Mile Plains District School,PP - 5,"4555 Highway 1 RR 2 Windsor, Nova Scotia, B0N 2T0, Canada",Craig MacDonald,902-792-6720,tmpds@avrce.ca,AVRCE,51 KM,2024-11-13 0:00:00,,,AVRCE,,,,,,,,,,,,,"4555 Highway 1 Windsor, Nova Scotia, B0N 2T0, Canada",44.9644679,-64.0942851,none
y,,Windsor Elementary,PP - 5,"100 Tremaine Crescent, Windsor, Nova Scotia, Canada",Novadawn Oulton,902-792-6770,wes@avrce.ca,AVRCE,55 KM,2024-11-13 0:00:00,,,AVRCE,,,,,,,,,,,,,"100 Tremaine Crescent, Windsor, Nova Scotia, Canada",44.98445276,-64.12706573,recent
,2025-03-28,Windsor Forks District School,PP - 5,"120 Sangster Bridge Road RR 3 Windsor, Nova Scotia B0N 2T0, Canada",Brandyn Ross,902-792-6700,wfds@avrce.ca,AVRCE,61 KM,2024-11-13 0:00:00,,,AVRCE,,,,,,,,,,,,,"120 Sangster Bridge Road Windsor, Nova Scotia B0N 2T0, Canada",44.945431,-64.1920082,none
,2025-03-28,Wolfville School,PP - 8,"19 Acadia Street Wolfville, Nova Scotia B4P 1K8, Canada",Greg Fox,902-542-6050,ws@avrce.ca,AVRCE,81 KM,2024-11-13 0:00:00,,,AVRCE,,,,,,,,,,,,,"19 Acadia Street Wolfville, Nova Scotia B4P 1K8, Canada",45.0895643,-64.3620046,none
,2025-03-28,A.G. Baillie Memorial,PP-6,"477 Victoria Street, New Glasgow NS B2H 1X1",Keah Evans,902-755-8240,evansKM@ccrce.ca,Celtic,152 KM,,,,CCRCE,,,,,,,,,,,,,"477 Victoria Street, New Glasgow, Nova Scotia B2H 1X1, Canada",45.5841825,-62.6462718,none
,2025-03-28,Advocate District,PP - 12,"3521 Highway 209, Advocate Harbour NS B0M 1A0",Calvin Regan,902-392-3400,ads@ccrce.ca,Chignecto,220 KM,,,,CCRCE,,,,,,,,,,,,,"3521 Highway 209, Advocate Harbour, Nova Scotia B0M 1A0, Canada",45.3412945,-64.7879015,none
,2025-03-28,Bible Hill Consolidated,PP - 4,"103 Pictou Road, Bible Hill, NS B2N 2S2",Kathy Fougere,902-896-5511,FougereKJ@ccrce.ca,Cobequid,91 KM,,,,CCRCE,,,,,,,,,,,,,"103 Pictou Road, Bible Hill,, Nova Scotia B2N 2S2, Canada",45.3758927,-63.260194,none
,2025-03-28,Brookfield Elementary,PP- 6,"233 Highway 289, Brookfield, NS B0N 1C0",Bruce McDowell,902-673-5050,McDowellRB@ccrce.ca,Nova,76 KM,,,,CCRCE,,,,,,,,,,,,,"233 Highway 289, Brookfield,, Nova Scotia B0N 1C0, Canada",45.2572132,-63.2650958,none
,2025-03-28,Chiganois Elementary,PP - 5,"11145 Highway 2, Masstown, B0M 1G0",Clinton Harvey,902-662-4420,HarveyC@ccrce.ca,Cobequid,101 KM,,,,CCRCE,,,,,,,,,,,,,"11145 Highway 2, Masstown, B0M 1G0, Nova Scotia, Canada",45.3845599,-63.4665206,none
,2025-03-28,Cobequid Consolidated Elementary,PP - 5,"2998 Highway 236, Old Barns, NS B6L 1K3",Angela McDowell,902-896-5560,McDowellAD@ccrce.ca,Cobequid,65 KM,,,,CCRCE,,,,,,,,,,,,,"2998 Highway 236, Old Barns,, Nova Scotia B6L 1K3, Canada",45.3502166,-63.3853958,none
,2025-03-28,Cobequid District Elementary,PP - 6,"8993 Highway 354, Noel, NS B0N 2C0",Mildred Crowe,902-369-2960,CroweMR@ccrce.ca,Nova,62 KM,,,,CCRCE,,,,,,,,,,,,,"8993 Highway 354, Noel,, Nova Scotia B0N 2C0, Canada",45.2919542,-63.7475544,none
,2025-03-28,Cumberland North Academy,PP - 6,"879 Highway 204, Brookdale, NS B4H 3Y1",Kathy Wells,902-661-2464,wellsk@ccrce.ca,Chignecto,193 KM,,,,CCRCE,,,,,,,,,,,,,"879 Highway 204, Brookdale,, Nova Scotia B4H 3Y1, Canada",45.8017692,-64.1575772,none
,2025-03-28,Cyrus Eaton Elementary,PP - 6,"171 Queen Street, Pugwash,, Nova Scotia B0K 1L0, Canada",Steve Wells,902-243-3900,wellsse@ccrce.ca,Chignecto,163 KM,,,,CCRCE,,,,,,,,,,,,,"171 Queen Street, Pugwash,, Nova Scotia B0K 1L0, Canada",45.8533238,-63.6596705,none
,2025-03-28,Debert Elementary,PP - 6,"1320 Masstown Road, Debert,, Nova Scotia B0M 1G0, Canada",Stephen Fultz,902-662-4400,fultzs@ccrce.ca,Cobequid,105 KM,,,,CCRCE,,,,,,,,,,,,,"1320 Masstown Road, Debert,, Nova Scotia B0M 1G0, Canada",45.4374771,-63.4600192,none
,,Dr. W.A. MacLeod Consolidated,PP - 8,"6193 Trafalgar Road, Stellarton, NS B0K 1S0",Ann Findlay,902-755-8450,no,Celtic,152 KM,,,,CCRCE,,,,,,,,,,,,,"6193 Trafalgar Road, Stellarton,, Nova Scotia B0K 1S0, Canada",45.5420315,-62.667585,none
,2025-03-28,Elmsdale District Elementary,PP - 5,"75 MacMillan Drive, Elmsdale, NS, B2S 1A5",Kelly Brown,902-883-5350,LangilleLD@ccrce.ca,Nova,35 KM,,Y,,CCRCE,,,,,,,,,,,,,"75 MacMillan Drive, Elmsdale,, Nova Scotia, B2S 1A5, Canada",44.961111,-63.52436,none
,,Enfield District Elementary,PP - 5,"29 Catherine Street, Enfield, NS B2T 1L4",Heather von Kintzel,902-883-5300,no,Nova,35 KM,,Y,,CCRCE,,,,,,,,,,,,,"29 Catherine Street, Enfield,, Nova Scotia B2T 1L4, Canada",44.9536059,-63.529408,none
,,F.H. MacDonald Academy,PP - 8,"123 School Road, Sutherlands River, Nova Scotia B0K 1W0, Canada",Glen McCarron,902-922-3805,,Celtic,162 KM,,,,CCRCE,,,,,,,,,,,,,"123 School Road, Sutherlands River, Nova Scotia B0K 1W0, Canada",45.5927864,-62.5090076,none
,2025-03-28,G.R. Saunders Elementary,PP - 6,"45 Allan Avenue, Stellarton, Nova Scotia, B0K 1S0, Canada",Matthew Clarke,902-755-8230,CormierEL@ccrce.ca,Celtic,150 KM,,,,CCRCE,,,,,,,,,,,,,"45 Allan Avenue, Stellarton, Nova Scotia, B0K 1S0, Canada",45.5612413,-62.661223,none
,2025-03-28,Great Village Elementary,P - 4,"8849 Highway 2, Great Village, NS B0M 1L0",Katie Kennedy,902-668-6500,KennedyKA@ccrce.ca,Cobequid,113 KM,,,,CCRCE,,,,,,,,,,,,,"8849 Highway 2, Great Village,, Nova Scotia B0M 1L0, Canada",45.4126394,-63.5963304,none
,2025-03-28,Harmony Heights Elementary,PP - 4,"25 Cedar Drive, Salmon River, NS B2N 0C1",Heather Bishop-Amero,902-896-5798,bishopameroha@ccrce.ca,Cobequid,91 KM,,,,CCRCE,,,,,,,,,,,,,"25 Cedar Drive, Salmon River,, Nova Scotia B2N 0C1, Canada",45.3621459,-63.2464721,recent
,2025-03-28,Hilden Elementary,PP - 6,"1737 Truro Road, Hilden, B0N 1C0",Alison Read,902-896-5750,reada@gnspes.ca,Nova,82 KM,,,,CCRCE,,,,,,,,,,,,,"1737 Truro Road, Hilden, B0N 1C0, Nova Scotia, Canada",45.3074467,-63.2888064,none
,,Kennetcook District Elementary,PP - 6,"4369 Highway 236, Kennetcook NS B0N 1P0",Mark Peveril,902-362-3300,no,Nova,59 KM,,,,CCRCE,,,,,,,,,,,,,"4369 Highway 236, Kennetcook, Nova Scotia B0N 1P0, Canada",45.1817927,-63.7169664,none
,2025-03-28,Maple Ridge Elementary,PP - 5,"1006 Highway 2, Lantz, NS B2S 1M8",Stephanie Rae-Cameron,902-883-5361,raecamerons@ccrce.ca,Nova,41 KM,,Y,,CCRCE,,,,,,,,,,,,,"1006 Highway 2, Lantz,, Nova Scotia B2S 1M8, Canada",44.9799881,-63.4919093,none
,2025-03-28,McCulloch Education Centre,PP - 6,"350 Wellington Street, Pictou, Nova Scotia, B0K 1H0, Canada",Guy Aucoin,902-485-7990,aucoing@ccrce.ca,Celtic,160 KM,,,,CCRCE,,,,,,,,,,,,,"350 Wellington Street, Pictou, Nova Scotia, B0K 1H0, Canada",45.6876159,-62.70861,none
,2025-03-28,New Glasgow Academy,PP-8,"93 Albert Street, New Glasgow NS B2H 5W8",Andrew Francis,902-755-8400,francisa@ccrce.ca,Celtic,153 KM,,,,CCRCE,,,,,,,,,,,,,"93 Albert Street, New Glasgow, Nova Scotia B2H 5W8, Canada",45.5868442,-62.6390298,none
,2025-03-28,North River Elementary,PP - 6,"80 Mountain Lee Road, North River NS B6L 6M2",Kevin Harnish,902-896-5530,harnishk@ccrce.ca,Cobequid,95 KM,,,,CCRCE,,,,,,,,,,,,,"80 Mountain Lee Road, North River, Nova Scotia B6L 6M2, Canada",45.4007348,-63.2629033,none
,2025-03-28,Northport Consolidated Elementary,P - 6,"7110 Highway 366, Northport NS B0L 1E0",Angela Trenholm,902-661-2490,trenholma@ccrce.ca,Chignecto,188 KM,,,,CCRCE,,,,,,,,,,,,,"7110 Highway 366, Northport, Nova Scotia B0L 1E0, Canada",45.941073,-63.8719566,none
,,Oxford Regional Education Centre,PP - 12,"249 Lower Main Street, Oxford, Nova Scotia, B0M 1P0, Canada",Duane Starratt,902-447-4513,no,Chignecto,159 KM,,,,CCRCE,,,,,,,,,,,,,"249 Lower Main Street, Oxford, Nova Scotia, B0M 1P0, Canada",45.7400805,-63.8651261,none
,,Parrsboro Regional Elementary,PP - 6,"43 School Street, Parrsboro, Nova Scotia, B0M 1S0, Canada",Denise Dickinson,902-254-5605,no,Chignecto,177 KM,,,,CCRCE,,,,,,,,,,,,,"43 School Street, Parrsboro, Nova Scotia, B0M 1S0, Canada",45.4052318,-64.3281418,none
,2025-03-28,Rawdon District Elementary,PP - 6,"3713 Highway 354, Upper Rawdon NS B0N 2N0",Megan Logan,902-632-6660,loganme@ccrce.ca,Nova,46 KM,,,,CCRCE,,,,,,,,,,,,,"3713 Highway 354, Upper Rawdon, Nova Scotia B0N 2N0, Canada",45.0703595,-63.711543,none
,2025-03-28,Redcliff Middle,5 - 7,"33 Sunset Lane, Valley NS B6L 4K1",David Hazelton,902-896-5520,HazeltonD@ccrce.ca,Cobequid,95 KM,,,,CCRCE,,,,,,,,,,,,,"33 Sunset Lane, Valley, Nova Scotia B6L 4K1, Canada",45.3818828,-63.2185723,none
,,River Hebert District School,PP - 12,"2843 Barronsfield Road, River Hebert NS B0L 1G0",Jennifer Bruce,902-251-3200,no,Chignecto,212 KM,,,,CCRCE,,,,,,,,,,,,,"2843 Barronsfield Road, River Hebert, Nova Scotia B0L 1G0, Canada",45.692518,-64.3781215,none
,,Salt Springs Elementary,PP - 6,"2080 West River Station Road, Salt Springs NS B0K 1P0",Nancy Gallant,902-925-6000,no,Celtic,132 KM,,,,CCRCE,,,,,,,,,,,,,"2080 West River Station Road, Salt Springs, Nova Scotia B0K 1P0, Canada",45.532211,-62.8913276,none
,,Scotsburn Elementary,PP - 6,"Box 388, 4100 Scotsburn Road, Scotsburn NS B0K 1R0",Kim Tetreault,902-485-7980,no,Celtic,147 KM,,,,CCRCE,,,,,,,,,,,,,"4100 Scotsburn Road, Scotsburn, Nova Scotia B0K 1R0, Canada",45.6535502,-62.8571441,none
,2025-03-28,Shubenacadie District Elementary,PP - 5,"54 Mill Village Road, Shubenacadie NS B0N 2H0",Jennifer Clarke,902-758-4600,clarkeje@gnspes.ca,Nova,53 KM,,,,CCRCE,,,,,,,,,,,,,"54 Mill Village Road, Shubenacadie, Nova Scotia B0N 2H0, Canada",45.0867389,-63.4132539,none
,,Spring Street Academy,PP - 6,"59 Spring Street, Amherst NS B4H 1S4",Nayo Upshaw,902-661-2499,no,Chignecto,191 KM,,,,CCRCE,,,,,,,,,,,,,"59 Spring Street, Amherst, Nova Scotia B4H 1S4, Canada",45.831342,-64.2025974,none
,,Springhill Elementary,PP - 6,"50 Princess Street, Springhill, NS B0M 1X0",Sheila Maddison-Alick,902-597-4240,no,Chignecto,175 KM,,,,CCRCE,,,,,,,,,,,,,"50 Princess Street, Springhill,, Nova Scotia B0M 1X0, Canada",45.6467594,-64.0496172,none
,2025-03-28,Springhill Junior-Senior High,7 - 12,"84 Church Street, Springhill, Nova Scotia, B0M 1X0, Canada",Ryan Oulton,902-597-4250,oultonr@ccrce.ca,Chignecto,175 KM,,,,CCRCE,,,,,,,,,,,,,"84 Church Street, Springhill, Nova Scotia, B0M 1X0, Canada",45.645343,-64.057056,none
,2025-03-28,Tatamagouche Regional Academy,PP - 12,"92 Blair Avenue, Tatamagouche NS B0K 1V0",Jennifer MacDonald,902-657-6235,MacDonaldJR5@ccrce.ca,Cobequid,144 KM,,,,CCRCE,,,,,,,,,,,,,"92 Blair Avenue, Tatamagouche, Nova Scotia B0K 1V0, Canada",45.7125052,-63.2972735,none
,,Thorburn Consolidated School,PP - 8,"13 New Row, Thorburn, Nova Scotia, B0K 1W0, Canada",Stephen Barker,902-922-3840,no,Celtic,158 KM,,,,CCRCE,,,,,,,,,,,,,"13 New Row, Thorburn, Nova Scotia, B0K 1W0, Canada",45.5620804,-62.5642682,none
,2025-03-28,Trenton Elementary,PP - 4,"10 Sixth Street, Trenton, NS B0K 1X0",Mark Fortune,902-755-8460,Fortunem@ccrce.ca,Celtic,154 KM,,,,CCRCE,,,,,,,,,,,,,"10 Sixth Street, Trenton,, Nova Scotia B0K 1X0, Canada",45.6164811,-62.6329295,none
,2025-03-28,Trenton Middle School,2024-05-08 0:00:00,"P. O. Box 10 37 Dickie Street, Trenton NS B0K 1X0",Shane Pitts,902-755-8440,PittsS@ccrce.ca,Celtic,154 KM,,,,CCRCE,,,,,,,,,,,,,"10 37 Dickie Street, Trenton, Nova Scotia B0K 1X0, Canada",45.6139203,-62.6331566,none
,2025-03-28,Truro Elementary,PP - 4,"125 Curtis Drive, Truro NS B2N 0C5",Kathy Weatherbee,902-896-5755,weatherbeekl@ccrce.ca,Cobequid,88 KM,,,,CCRCE,,,,,,,,,,,,,"125 Curtis Drive, Truro, Nova Scotia B2N 0C5, Canada",45.3474,-63.283235,none
,2025-03-28,Truro Middle School,5 - 8,"445 Young Street, Truro NS B2N 7H9",Tammy Fox,902-896-5550,FoxT@ccrce.ca,Cobequid,88 KM,,,,CCRCE,,,,,,,,,,,,,"445 Young Street, Truro, Nova Scotia B2N 7H9, Canada",45.3476471,-63.2712195,none
,2025-03-28,Uniacke District,PP - 9,"551 Highway 1, Mount Uniacke NS B0N 1Z0",Dawn Langille,902-866-5100,langilleld@ccrce.ca,Nova,28 KM,,Y,,CCRCE,,,,,,,,,,,,,"551 Highway 1, Mount Uniacke, Nova Scotia B0N 1Z0, Canada",44.8879371,-63.8223224,none
,,Upper Stewiacke Elementary,PP - 6,"5327 Highway 289, Upper Stewiacke NS B0N 2P0",Shawn Dalrymple,902-671-3000,no,Nova,104 KM,,,,CCRCE,,,,,,,,,,,,,"5327 Highway 289, Upper Stewiacke, Nova Scotia B0N 2P0, Canada",45.2202099,-62.995714,none
,2025-03-28,Valley Elementary,PP - 4,"96 Salmon River Road, Valley NS B6L 2S5",Natalie McInnis,902-896-5540,mcinnisnd@ccrce.ca,Cobequid,100 KM,,,,CCRCE,,,,,,,,,,,,,"96 Salmon River Road, Valley, Nova Scotia B6L 2S5, Canada",45.392874,-63.2041346,none
,,Wallace Consolidated,P - 6,"3853 Highway 307, Wallace NS B0K 1Y0",Dorian Dorn,902-257-6100,no,Chignecto,157 KM,,,,CCRCE,,,,,,,,,,,,,"3853 Highway 307, Wallace, Nova Scotia B0K 1Y0, Canada",45.81205,-63.4735405,none
,,Walter Duggan Consolidated,PP - 6,"2370 Spring Garden Road, Westville NS B0K 2A0",Guy Aucoin,902-396-2700,AucoinG@ccrce.ca,Celtic,144 KM,,,,CCRCE,,,,,,,,,,,,,"2370 Spring Garden Road, Westville, Nova Scotia B0K 2A0, Canada",45.5698782,-62.71883,none
,2025-03-28,West Colchester Consolidated,PP - 9,"27 Maple Avenue, Bass River NS B0M 1B0",Stephanie Boertjes,902-647-3500,BrownM@ccrce.ca,Cobequid,129 KM,,,,CCRCE,,,,,,,,,,,,,"27 Maple Avenue, Bass River, Nova Scotia B0M 1B0, Canada",45.4157543,-63.7797823,none
,,West Highlands Elementary,PP - 6,"18 Maltby Court, Amherst, NS B4H 2L6",Kirk Rioux,902-661-2420,no,Chignecto,190 KM,,,,CCRCE,,,,,,,,,,,,,"18 Maltby Court, Amherst,, Nova Scotia B4H 2L6, Canada",45.8184631,-64.2118273,none
,,West Pictou Consolidated,PP - 8,"1999 Highway 376, Lyons Brook, Nova Scotia B0K 1H0, Canada",Cindy Turner,902-485-7960,no,Celtic,146 KM,,,,CCRCE,,,,,,,,,,,,,"1999 Highway 376, Lyons Brook, Nova Scotia B0K 1H0, Canada",45.6565238,-62.7971523,none
,2025-03-28,Winding River Consolidated,PP-6,"272 Kitchener Street, Stewiacke, Nova Scotia B0N 2J0, Canada",Clint Oakley,902-639-3199,Oakleyc@ccrce.ca,Nova,63 KM,,,,CCRCE,,,,,,,,,,,,,"272 Kitchener Street, Stewiacke, Nova Scotia B0N 2J0, Canada",45.1346354,-63.331638,none
,,Admiral Westphal Elementary School,,"6 Fourth St, Dartmouth, NS B2X 3A5",Jamie Cavanaugh,435-8305,,,,2024-11-12 0:00:00,,,HRCE,2025-03-28,jkavanaugh@hrce.ca,-,,2024-08-22,Sept 12,,,,,,,"6 Fourth St, Dartmouth,, Nova Scotia B2X 3A5, Canada",44.6855596,-63.5445873,none
,,Alderney School,,"10 Lockview Rd, Fall River, NS B2T 1J1",Laura Dunn,464-2040,,,,2024-11-12 0:00:00,,,HRCE,2025-03-28,laura.dunn@hrce.ca,-,,2024-08-22,Sept 12,,,,,,,"10 Lockview Rd, Fall River,, Nova Scotia B2T 1J1, Canada",44.8177467,-63.6168658,none
,,Ash Lee Jefferson Elementary School,,"10 Lockview Rd, Fall River, NS B2T 1J1",Lynn Mills,860-4163,,,,2024-11-12 0:00:00,,,HRCE,2025-03-28,lmills@hrce.ca,Jason Starratt,,2024-08-22,Sept 12,,,,,,,"10 Lockview Rd, Fall River,, Nova Scotia B2T 1J1, Canada",44.8177467,-63.6168658,none
,,Astral Drive Elementary School,,"236 Astral Drive, Dartmouth, Nova Scotia, Canada",Ken MacDonald,462-8500,,,,2024-11-12 0:00:00,,,HRCE,2025-03-28,ade@hrce.ca,Tanya MacNeil,,2024-08-22,Sept 12,,,,,,,"236 Astral Drive, Dartmouth, Nova Scotia, Canada",44.65557804,-63.47875527,none
,,Atlantic Memorial - Terence Bay Elementary School,,"3591 Prospect Road, Whites Lake, Nova Scotia B3T 1Z3, Canada",Carrie McBay,852-2166,,,,X,,,HRCE,2025-03-28,cmcbay@hrce.ca,Lisa MacDonald,,2024-08-22,Sept 12,,,,,,,"3591 Prospect Road, Whites Lake, Nova Scotia B3T 1Z3, Canada",44.523736,-63.7766769,none
